date,ppi,ppi_yoy_change
1969-04-01,35.3,3.5190615835777095
1969-05-01,35.5,3.801169590643272
1969-06-01,35.7,4.385964912280693
1969-07-01,35.8,4.37317784256559
1969-08-01,35.7,4.385964912280693
1969-09-01,35.8,4.06976744186045
1969-10-01,35.9,4.3604651162790775
1969-11-01,36.1,4.637681159420293
1969-12-01,36.3,4.9132947976878505
1970-01-01,36.5,4.885057471264376
1970-02-01,36.7,4.857142857142871
1970-03-01,36.7,4.2613636363636465
1970-04-01,36.8,4.249291784702547
1970-05-01,36.8,3.6619718309859106
1970-06-01,36.9,3.361344537815114
1970-07-01,37.1,3.6312849162011274
1970-08-01,36.9,3.361344537815114
1970-09-01,37.1,3.6312849162011274
1970-10-01,37.1,3.3426183844011303
1970-11-01,37.1,2.7700831024930705
1970-12-01,37.1,2.203856749311317
1971-01-01,37.3,2.191780821917799
1971-02-01,37.7,2.7247956403269713
1971-03-01,37.8,2.9972752043596618
1971-04-01,37.9,2.9891304347826164
1971-05-01,38.1,3.532608695652195
1971-06-01,38.2,3.5230352303523116
1971-07-01,38.3,3.2345013477088846
1971-08-01,38.5,4.336043360433606
1971-09-01,38.3,3.2345013477088846
1971-10-01,38.3,3.2345013477088846
1971-11-01,38.3,3.2345013477088846
1971-12-01,38.6,4.043126684636111
1972-01-01,38.8,4.021447721179627
1972-02-01,39.2,3.9787798408488007
1972-03-01,39.2,3.70370370370372
1972-04-01,39.3,3.693931398416872
1972-05-01,39.5,3.6745406824146842
1972-06-01,39.7,3.926701570680624
1972-07-01,40.0,4.438642297650142
